overall_rank,player_name,position,team,predicted_points,vor
169,Rashid Shaheed,WR,NO,15.08283707891915,-6.183207251471171
170,Alec Pierce,WR,IND,15.037438548779052,-6.237685487639289
171,Mitchell Trubisky,QB,PIT,25.34037326992312,-6.289234981546804
172,Darrell Chark,WR,DET,14.98079431289886,-6.3056585706955195
173,Olamide Zaccheaus,WR,ATL,14.98079431289886,-6.3056585706955195
174,Terrace Marshall,WR,CAR,14.975172822086941,-6.312404359669822
175,Elijah Moore,WR,NYJ,14.975172822086941,-6.312404359669822
176,Jacob Eason,QB,SF,25.300674371335184,-6.324963990275947
177,Desmond Ridder,QB,ATL,25.300674371335184,-6.324963990275947
178,Trevor Siemian,QB,CHI,25.300674371335184,-6.324963990275947
179,Brandon Allen,QB,CIN,25.300674371335184,-6.324963990275947
180,Robert Dobbs,QB,TEN,25.300674371335184,-6.324963990275947
181,Gardner Minshew,QB,PHI,25.300674371335184,-6.324963990275947
182,Jarrett Stidham,QB,LV,25.300674371335184,-6.324963990275947
183,Nathan Sudfeld,QB,DET,25.300674371335184,-6.324963990275947
184,Christopher Streveler,QB,NYJ,25.300674371335184,-6.324963990275947
185,Skylar Thompson,QB,MIA,25.300674371335184,-6.324963990275947
186,Bailey Zappe,QB,NE,25.300674371335184,-6.324963990275947
187,Brock Purdy,QB,SF,25.300674371335184,-6.324963990275947
188,Sam Howell,QB,WAS,25.300674371335184,-6.324963990275947
189,Trey Lance,QB,SF,25.300674371335184,-6.324963990275947
190,Theodore Bridgewater,QB,MIA,25.300674371335184,-6.324963990275947
191,Kyle Trask,QB,TB,25.300674371335184,-6.324963990275947
192,Anthony Brown,QB,BAL,25.300674371335184,-6.324963990275947
193,Jordan Love,QB,GB,25.300674371335184,-6.324963990275947
194,Timothy Boyle,QB,CHI,25.300674371335184,-6.324963990275947
195,David Blough,QB,ARI,25.300674371335184,-6.324963990275947
196,Nathan Peterman,QB,CHI,25.300674371335184,-6.324963990275947
197,Nicholas Mullens,QB,MIN,25.300674371335184,-6.324963990275947
198,Casey Beathard,QB,JAX,25.300674371335184,-6.324963990275947
199,Davis Webb,QB,NYG,25.300674371335184,-6.324963990275947
