player_id,player_name,team,position,predicted_points,vor_value,position_rank,is_replacement_level,tier,age,bye_week,adp,adjusted_score,scarcity_multiplier,overall_rank,overall_tier,rb_tier,wr_tier,te_tier,qb_tier
00-0033119,Jacoby Brissett,NE,QB,10.418130261478096,-6.182459133884338,39,False,9,25,7,-1,-4.95,0.8,530,8,,,,6.0
00-0036972,Mac Jones,JAX,QB,10.371960514897415,-6.228628880465019,40,False,9,25,7,-1,-4.98,0.8,531,8,,,,6.0
00-0027973,Andy Dalton,CAR,QB,10.289769449037003,-6.310819946325431,41,False,9,25,7,-1,-5.05,0.8,532,8,,,,6.0
00-0034771,Mason Rudolph,TEN,QB,10.189917082394967,-6.410672312967467,42,False,9,25,7,-1,-5.13,0.8,533,8,,,,6.0
00-0039376,Spencer Rattler,NO,QB,10.142910271543702,-6.457679123818732,43,False,9,25,7,-1,-5.17,0.8,534,8,,,,6.0
00-0035264,Jarrett Stidham,DEN,QB,9.361386131830912,-7.239203263531522,44,False,10,25,7,-1,-5.79,0.8,535,8,,,,6.0
00-0037324,Chris Oladokun,KC,QB,9.361386131830912,-7.239203263531522,45,False,10,25,7,-1,-5.79,0.8,536,8,,,,6.0
00-0031800,Taylor Heinicke,LAC,QB,9.359949649185017,-7.240639746177417,46,False,10,25,7,-1,-5.79,0.8,537,8,,,,6.0
00-0026300,Josh Johnson,BAL,QB,9.342021525374433,-7.258567869988001,47,False,10,25,7,-1,-5.81,0.8,538,8,,,,6.0
00-0034577,Kyle Allen,PIT,QB,9.342021525374433,-7.258567869988001,48,False,10,25,7,-1,-5.81,0.8,539,8,,,,6.0
00-0032950,Carson Wentz,KC,QB,9.304103537222234,-7.2964858581401995,49,False,10,25,7,-1,-5.84,0.8,540,8,,,,6.0
00-0034401,Mike White,BUF,QB,9.304103537222234,-7.2964858581401995,50,False,10,25,7,-1,-5.84,0.8,541,8,,,,6.0
00-0028118,Tyrod Taylor,NYJ,QB,9.289873001898934,-7.310716393463499,51,False,10,25,7,-1,-5.85,0.8,542,8,,,,6.0
00-0033319,Nick Mullens,MIN,QB,9.287528865811774,-7.313060529550659,52,False,10,25,7,-1,-5.85,0.8,543,8,,,,6.0
00-0035100,Jake Browning,CIN,QB,9.287528865811774,-7.313060529550659,53,False,10,25,7,-1,-5.85,0.8,544,8,,,,6.0
00-0037077,Sam Howell,SEA,QB,9.201587593869633,-7.399001801492801,54,False,10,25,7,-1,-5.92,0.8,545,8,,,,6.0
00-0031345,Jimmy Garoppolo,LA,QB,9.110813545327357,-7.489775850035077,55,False,10,25,7,-1,-5.99,0.8,546,8,,,,6.0
