overall_rank,player_name,position,team,predicted_points,raw_vor,vor
134,Jalen Nailor,K,MIN,13.376762800570372,0.0,0.0
135,Kayshon Boutte,K,NE,13.376762800570372,0.0,0.0
136,Scott Matlock,K,LAC,13.376762800570372,0.0,0.0
137,Pat Freiermuth,K,PIT,13.376762800570372,0.0,0.0
138,Blake Watson,K,DEN,13.376762800570372,0.0,0.0
139,British Brooks,K,HOU,13.376762800570372,0.0,0.0
140,Matthew Hayball,K,NO,13.376762800570372,0.0,0.0
141,Dallin Holker,K,NO,13.376762800570372,0.0,0.0
142,Jacob Kibodi,K,CLE,13.376762800570372,0.0,0.0
143,Mason Tipton,K,NO,13.376762800570372,0.0,0.0
144,Cam Grandy,K,CIN,13.376762800570372,0.0,0.0
145,David Martin-Robinson,K,TEN,13.376762800570372,0.0,0.0
146,Bryce Oliver,K,TEN,13.376762800570372,0.0,0.0
147,Dell Pettus,K,NE,13.376762800570372,0.0,0.0
148,Ja'Lynn Polk,K,NE,13.376762800570372,0.0,0.0
149,Jalin Hyatt,K,NYG,13.376762800570372,0.0,0.0
150,Ben Sinnott,K,WAS,13.376762800570372,0.0,0.0
151,Andrei Iosivas,K,CIN,13.376762800570372,0.0,0.0
152,Brenton Strange,K,JAX,13.376762800570372,0.0,0.0
153,Mike Woods,K,CLE,13.376762800570372,0.0,0.0
154,Tyler Scott,K,CHI,13.376762800570372,0.0,0.0
155,Sean Tucker,K,TB,13.376762800570372,0.0,0.0
156,Marvin Mims Jr.,K,DEN,13.376762800570372,0.0,0.0
157,Tank Dell,K,HOU,13.376762800570372,0.0,0.0
158,Cedric Tillman,K,CLE,13.376762800570372,0.0,0.0
159,Wanya Morris,K,KC,13.376762800570372,0.0,0.0
160,Jordan Addison,K,MIN,13.376762800570372,0.0,0.0
161,Tucker Kraft,K,GB,13.376762800570372,0.0,0.0
162,Ben Sims,K,GB,13.376762800570372,0.0,0.0
163,Jaleel McLaughlin,K,DEN,13.376762800570372,0.0,0.0
164,Jake Haener,K,NO,13.376762800570372,0.0,0.0
165,Nate Adkins,K,DEN,13.376762800570372,0.0,0.0
166,Demario Douglas,K,NE,13.376762800570372,0.0,0.0
167,Ladd McConkey,K,LAC,13.376762800570372,0.0,0.0
168,Deuce Vaughn,K,DAL,13.376762800570372,0.0,0.0
169,Kenny McIntosh,K,SEA,13.376762800570372,0.0,0.0
170,Jalen Brooks,K,DAL,13.376762800570372,0.0,0.0
171,Brayden Willis,K,SF,13.376762800570372,0.0,0.0
172,Ronnie Bell,K,SF,13.376762800570372,0.0,0.0
173,Jordan Mims,K,NO,13.376762800570372,0.0,0.0
174,Tyrell Shavers,K,BUF,13.376762800570372,0.0,0.0
175,Chris Brooks,K,GB,13.376762800570372,0.0,0.0
176,Emari Demercado,K,ARI,13.376762800570372,0.0,0.0
177,Blake Whiteheart,K,CLE,13.376762800570372,0.0,0.0
178,Julian Hill,K,MIA,13.376762800570372,0.0,0.0
179,Hunter Luepke,K,DAL,13.376762800570372,0.0,0.0
180,Jake Bobo,K,SEA,13.376762800570372,0.0,0.0
181,Josh Downs,K,IND,13.376762800570372,0.0,0.0
182,Dalton Kincaid,K,BUF,13.376762800570372,0.0,0.0
183,John Shenker,K,LV,13.376762800570372,0.0,0.0
184,Brycen Tremayne,K,WAS,13.376762800570372,0.0,0.0
185,Ryan Miller,K,TB,13.376762800570372,0.0,0.0
186,Ricky Pearsall,K,SF,13.376762800570372,0.0,0.0
187,Michael Penix Jr.,K,ATL,13.376762800570372,0.0,0.0
188,Caleb Williams,K,CHI,13.376762800570372,0.0,0.0
189,Rome Odunze,K,CHI,13.376762800570372,0.0,0.0
190,Malachi Corley,K,NYJ,13.376762800570372,0.0,0.0
191,Jaylen Wright,K,MIA,13.376762800570372,0.0,0.0
192,Jalen McMillan,K,TB,13.376762800570372,0.0,0.0
193,Devin Culp,K,TB,13.376762800570372,0.0,0.0
